Municipality,Perfecture,population_2011,population_2021,diff,diff_pct
ΠΑΤΜΟΥ,ΔΩΔ/ΝΗΣΟΥ,3047,3217,170,"5,6%"
ΡΟΔΟΥ,ΔΩΔ/ΝΗΣΟΥ,115490,124851,9361,"8,1%"
ΣΥΜΗΣ,ΔΩΔ/ΝΗΣΟΥ,2590,2495,-95,"-3,7%"
ΤΗΛΟΥ,ΔΩΔ/ΝΗΣΟΥ,780,745,-35,"-4,5%"
ΧΑΛΚΗΣ,ΔΩΔ/ΝΗΣΟΥ,478,476,-2,"-0,4%"
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,ΕΒΡΟΥ,72959,71601,-1358,"-1,9%"
ΔΙΔΥΜΟΤΕΙΧΟΥ,ΕΒΡΟΥ,19493,16161,-3332,"-17,1%"
ΟΡΕΣΤΙΑΔΑΣ,ΕΒΡΟΥ,37695,31694,-6001,"-15,9%"
ΣΑΜΟΘΡΑΚΗΣ,ΕΒΡΟΥ,2859,2622,-237,"-8,3%"
ΣΟΥΦΛΙΟΥ,ΕΒΡΟΥ,14941,11784,-3157,"-21,1%"
ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ,ΕΥΒΟΙΑΣ,18800,15435,-3365,"-17,9%"
ΕΡΕΤΡΙΑΣ,ΕΥΒΟΙΑΣ,13053,12676,-377,"-2,9%"
ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ,ΕΥΒΟΙΑΣ,21083,18460,-2623,"-12,4%"
ΚΑΡΥΣΤΟΥ,ΕΥΒΟΙΑΣ,12180,11593,-587,"-4,8%"
ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,ΕΥΒΟΙΑΣ,28437,26359,-2078,"-7,3%"
ΜΑΝΤΟΥΔΙΟΥ-ΛΙΜΝΗΣ-ΑΓΙΑΣ ΑΝΝΑΣ,ΕΥΒΟΙΑΣ,12045,11986,-59,"-0,5%"
ΣΚΥΡΟΥ,ΕΥΒΟΙΑΣ,2994,2913,-81,"-2,7%"
ΧΑΛΚΙΔΕΩΝ,ΕΥΒΟΙΑΣ,102223,108313,6090,"6,0%"
ΑΓΡΑΦΩΝ,ΕΥΡΥΤΑΝΙΑΣ,6976,5984,-992,"-14,2%"
ΚΑΡΠΕΝΗΣΙΟΥ,ΕΥΡΥΤΑΝΙΑΣ,13105,11477,-1628,"-12,4%"
ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,40759,40508,-251,"-0,6%"
ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ,ΗΛΕΙΑΣ,21581,22615,1034,"4,8%"
ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ,ΗΛΕΙΑΣ,14109,11273,-2836,"-20,1%"
ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΗΛΕΙΑΣ,13409,11307,-2102,"-15,7%"
ΖΑΧΑΡΩΣ,ΗΛΕΙΑΣ,8953,8606,-347,"-3,9%"
ΗΛΙΔΑΣ,ΗΛΕΙΑΣ,32219,29409,-2810,"-8,7%"
ΠΗΝΕΙΟΥ,ΗΛΕΙΑΣ,21034,21658,624,"3,0%"
ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,47995,44482,-3513,"-7,3%"
ΑΛΕΞΑΝΔΡΕΙΑΣ,ΗΜΑΘΙΑΣ,41570,38293,-3277,"-7,9%"
ΒΕΡΟΙΑΣ,ΗΜΑΘΙΑΣ,66547,62064,-4483,"-6,7%"
ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ,ΗΜΑΘΙΑΣ,32494,29669,-2825,"-8,7%"
ΑΡΧΑΝΩΝ-ΑΣΤΕΡΟΥΣΙΩΝ,ΗΡΑΚΛΕΙΟΥ,16692,16002,-690,"-4,1%"
ΒΙΑΝΝΟΥ,ΗΡΑΚΛΕΙΟΥ,5563,4314,-1249,"-22,5%"
ΓΟΡΤΥΝΑΣ,ΗΡΑΚΛΕΙΟΥ,15632,13936,-1696,"-10,8%"
ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,173993,177064,3071,"1,8%"
ΜΑΛΕΒΙΖΙΟΥ,ΗΡΑΚΛΕΙΟΥ,24864,25750,886,"3,6%"
ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ,ΗΡΑΚΛΕΙΟΥ,17563,14161,-3402,"-19,4%"
ΦΑΙΣΤΟΥ,ΗΡΑΚΛΕΙΟΥ,24466,23994,-472,"-1,9%"
ΧΕΡΣΟΝΗΣΟΥ,ΗΡΑΚΛΕΙΟΥ,26717,27229,512,"1,9%"
ΗΓΟΥΜΕΝΙΤΣΑΣ,ΘΕΣΠΡΩΤΙΑΣ,25814,25709,-105,"-0,4%"
ΣΟΥΛΙΟΥ,ΘΕΣΠΡΩΤΙΑΣ,10063,8767,-1296,"-12,9%"
ΦΙΛΙΑΤΩΝ,ΘΕΣΠΡΩΤΙΑΣ,7710,6351,-1359,"-17,6%"
ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,ΘΕΣ/ΝΙΚΗΣ,52127,49674,-2453,"-4,7%"
ΒΟΛΒΗΣ,ΘΕΣ/ΝΙΚΗΣ,23478,19812,-3666,"-15,6%"
ΔΕΛΤΑ,ΘΕΣ/ΝΙΚΗΣ,45839,45628,-211,"-0,5%"
ΘΕΡΜΑΪΚΟΥ,ΘΕΣ/ΝΙΚΗΣ,50264,45450,-4814,"-9,6%"
ΘΕΡΜΗΣ,ΘΕΣ/ΝΙΚΗΣ,53201,55238,2037,"3,8%"
ΘΕΣΣΑΛΟΝΙΚΗΣ,ΘΕΣ/ΝΙΚΗΣ,325182,317778,-7404,"-2,3%"
ΚΑΛΑΜΑΡΙΑΣ,ΘΕΣ/ΝΙΚΗΣ,91518,92238,720,"0,8%"
ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΘΕΣ/ΝΙΚΗΣ,101753,105426,3673,"3,6%"
ΛΑΓΚΑΔΑ,ΘΕΣ/ΝΙΚΗΣ,41103,37072,-4031,"-9,8%"
ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΘΕΣ/ΝΙΚΗΣ,84741,80851,-3890,"-4,6%"
ΠΑΥΛΟΥ ΜΕΛΑ,ΘΕΣ/ΝΙΚΗΣ,99245,99969,724,"0,7%"
ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΘΕΣ/ΝΙΚΗΣ,70110,72223,2113,"3,0%"
ΧΑΛΚΗΔΟΝΟΣ,ΘΕΣ/ΝΙΚΗΣ,33673,29951,-3722,"-11,1%"
ΩΡΑΙΟΚΑΣΤΡΟΥ,ΘΕΣ/ΝΙΚΗΣ,38317,40114,1797,"4,7%"
ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,5714,5075,-639,"-11,2%"
ΔΩΔΩΝΗΣ,ΙΩΑΝΝΙΝΩΝ,9693,7258,-2435,"-25,1%"
ΖΑΓΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,3724,3384,-340,"-9,1%"
ΖΙΤΣΑΣ,ΙΩΑΝΝΙΝΩΝ,14766,13630,-1136,"-7,7%"
ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΝΩΝ,112486,113094,608,"0,5%"
ΚΟΝΙΤΣΑΣ,ΙΩΑΝΝΙΝΩΝ,6362,5325,-1037,"-16,3%"
ΜΕΤΣΟΒΟΥ,ΙΩΑΝΝΙΝΩΝ,6196,5429,-767,"-12,4%"
ΠΩΓΩΝΙΟΥ,ΙΩΑΝΝΙΝΩΝ,8960,6859,-2101,"-23,4%"
ΘΑΣΟΥ,ΚΑΒΑΛΑΣ,13770,13055,-715,"-5,2%"
ΚΑΒΑΛΑΣ,ΚΑΒΑΛΑΣ,70501,65857,-4644,"-6,6%"
ΝΕΣΤΟΥ,ΚΑΒΑΛΑΣ,22331,20525,-1806,"-8,1%"
ΠΑΓΓΑΙΟΥ,ΚΑΒΑΛΑΣ,32085,29592,-2493,"-7,8%"
ΑΡΓΙΘΕΑΣ,ΚΑΡΔΙΤΣΑΣ,3450,3515,65,"1,9%"
ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ,56747,56641,-106,"-0,2%"
ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,ΚΑΡΔΙΤΣΑΣ,4635,5285,650,"14,0%"
ΜΟΥΖΑΚΙΟΥ,ΚΑΡΔΙΤΣΑΣ,13122,11264,-1858,"-14,2%"
ΠΑΛΑΜΑ,ΚΑΡΔΙΤΣΑΣ,16726,13416,-3310,"-19,8%"
ΣΟΦΑΔΩΝ,ΚΑΡΔΙΤΣΑΣ,18864,16577,-2287,"-12,1%"
ΑΡΓΟΥΣ ΟΡΕΣΤΙΚΟΥ,ΚΑΣΤΟΡΙΑΣ,11802,10633,-1169,"-9,9%"
ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,35874,33227,-2647,"-7,4%"
ΝΕΣΤΟΡΙΟΥ,ΚΑΣΤΟΡΙΑΣ,2646,2188,-458,"-17,3%"
ΒΟΡΕΙΑΣ ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,17832,17455,-377,"-2,1%"
ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ        ΚΑΙ        ΔΙΑΠΟΝΤΙΩΝ        ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,68558,65237,-3321,"-4,8%"
ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,15681,14772,-909,"-5,8%"
ΠΑΞΩΝ,ΚΕΡΚΥΡΑΣ,2300,2383,83,"3,6%"
ΑΡΓΟΣΤΟΛΙΟΥ,ΚΕΦ/ΝΙΑΣ,23499,22388,-1111,"-4,7%"
ΙΘΑΚΗΣ,ΚΕΦ/ΝΙΑΣ,3231,2774,-457,"-14,1%"
ΛΗΞΟΥΡΙΟΥ,ΚΕΦ/ΝΙΑΣ,7098,7025,-73,"-1,0%"
ΣΑΜΗΣ,ΚΕΦ/ΝΙΑΣ,5204,5511,307,"5,9%"
ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,51926,45489,-6437,"-12,4%"
ΠΑΙΟΝΙΑΣ,ΚΙΛΚΙΣ,28493,25159,-3334,"-11,7%"
ΒΕΛΒΕΝΤΟΥ,ΚΟΖΑΝΗΣ,3448,3060,-388,"-11,3%"
ΒΟΪΟΥ,ΚΟΖΑΝΗΣ,18386,15080,-3306,"-18,0%"
ΕΟΡΔΑΙΑΣ,ΚΟΖΑΝΗΣ,45592,42414,-3178,"-7,0%"
ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,71388,67161,-4227,"-5,9%"
ΣΕΡΒΙΩΝ,ΚΟΖΑΝΗΣ,11382,9486,-1896,"-16,7%"
ΒΕΛΟΥ-ΒΟΧΑΣ,ΚΟΡΙΝΘΙΑΣ,19027,17836,-1191,"-6,3%"
ΚΟΡΙΝΘΙΩΝ,ΚΟΡΙΝΘΙΑΣ,58192,56437,-1755,"-3,0%"
ΛΟΥΤΡΑΚΙΟΥ-ΠΕΡΑΧΩΡΑΣ-ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,ΚΟΡΙΝΘΙΑΣ,21221,21925,704,"3,3%"
ΝΕΜΕΑΣ,ΚΟΡΙΝΘΙΑΣ,6483,5668,-815,"-12,6%"
ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ,ΚΟΡΙΝΘΙΑΣ,17365,15295,-2070,"-11,9%"
ΣΙΚΥΩΝΙΩΝ,ΚΟΡΙΝΘΙΑΣ,22794,20983,-1811,"-7,9%"
ΑΜΟΡΓΟΥ,ΚΥΚΛΑΔΩΝ,1973,1965,-8,"-0,4%"
ΑΝΑΦΗΣ,ΚΥΚΛΑΔΩΝ,271,291,20,"7,4%"
ΑΝΔΡΟΥ,ΚΥΚΛΑΔΩΝ,9221,8883,-338,"-3,7%"
ΑΝΤΙΠΑΡΟΥ,ΚΥΚΛΑΔΩΝ,1211,1264,53,"4,4%"
ΘΗΡΑΣ,ΚΥΚΛΑΔΩΝ,15550,15457,-93,"-0,6%"
ΙΗΤΩΝ,ΚΥΚΛΑΔΩΝ,2024,2297,273,"13,5%"
ΚΕΑΣ,ΚΥΚΛΑΔΩΝ,2455,2394,-61,"-2,5%"
ΚΙΜΩΛΟΥ,ΚΥΚΛΑΔΩΝ,910,817,-93,"-10,2%"
ΚΥΘΝΟΥ,ΚΥΚΛΑΔΩΝ,1456,1492,36,"2,5%"
ΜΗΛΟΥ,ΚΥΚΛΑΔΩΝ,4977,5193,216,"4,3%"
ΜΥΚΟΝΟΥ,ΚΥΚΛΑΔΩΝ,10134,9802,-332,"-3,3%"
ΝΑΞΟΥ ΚΑΙ	ΜΙΚΡΩΝ	ΚΥΚΛΑΔΩΝ,ΚΥΚΛΑΔΩΝ,18904,19812,908,"4,8%"
ΠΑΡΟΥ,ΚΥΚΛΑΔΩΝ,13715,14290,575,"4,2%"
ΣΕΡΙΦΟΥ,ΚΥΚΛΑΔΩΝ,1420,1258,-162,"-11,4%"
ΣΙΚΙΝΟΥ,ΚΥΚΛΑΔΩΝ,273,253,-20,"-7,3%"
ΣΙΦΝΟΥ,ΚΥΚΛΑΔΩΝ,2625,2755,130,"5,0%"
ΣΥΡΟΥ-ΕΡΜΟΥΠΟΛΗΣ,ΚΥΚΛΑΔΩΝ,21507,20791,-716,"-3,3%"
ΤΗΝΟΥ,ΚΥΚΛΑΔΩΝ,8636,8611,-25,"-0,3%"
ΦΟΛΕΓΑΝΔΡΟΥ,ΚΥΚΛΑΔΩΝ,765,715,-50,"-6,5%"
