date,"Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωντανά ζώα,Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα",Λάδια και λίπη ζωικής προέλευσης,"Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2012,32723.0,1227.3333333333333,170942.0,26698.5,50000.0,38800.0,,,17294.5,23336.0,2066743.0,7873.666666666667,20230.0,,142277.0,68230.5,601003.0,25740.5,5814.0,42.0,,43478813.666666664,4389050.0,,114580769.5,36729.0,19201.5,,2261439.0,8612764.5,68112.5,,,,7271539.333333333,247117.5,,12963.5,75380.0,3.0,36966.5,4388.75,,1960634.75,216.0,64002.5,3651.0,,1350665.0,11998467.0,30240.0,160.0,1066143.0,124.0,89227.5,3289.5,42340.0,,576146.0,11359.333333333334,247980.33333333334
2013,44346.0,4170.0,196072.0,38030.5,,97653.5,,,15610.5,34850.5,1154824.5,16959.5,87.0,,190547.0,61170.5,198395.0,76855.0,4131.0,195.0,,58669994.0,1277786.6666666667,,102131823.5,6240.0,12409.333333333334,,1962255.0,9800328.0,100264.5,,,,5473556.25,292892.0,,255274060.0,96151.0,6.0,43953.0,10630.666666666666,,1164001.3333333333,81183.0,92614.5,1667.0,20.0,72860.0,7527226.0,37788.5,,1731612.0,154.0,80490.5,6063.0,,46.5,232467.0,42792.0,343291.3333333333
2014,614.5,6383.0,75281.0,50000.0,33.0,68282.5,,,12863.333333333334,23331.5,915328.0,13618.333333333334,1678.0,,255386.0,107133.0,1414435.0,431529.0,1770.0,114.0,,46233648.666666664,2251048.0,,115114684.0,2553.0,33966.0,,1887401.0,8547571.0,342939.0,,,,3815198.0,77954.0,2.0,363046888.0,19481.0,,44384.0,16452.333333333332,1.0,685742.0,1606008.0,35510.5,3578760.0,16.0,91650.0,16205713.0,47272.0,,92947.5,22.0,97956.0,5965.5,,,2963606.0,14708.666666666666,433448.0
2015,252.0,4959.666666666667,7194.0,37842.0,,68649.5,,,14463.0,19936.5,1370912.0,19762.5,380286.0,,219349.0,48550.0,313292.0,23629.0,1806.0,153.0,120.0,49169438.0,2647771.0,,84673886.0,2930.5,27687.0,,2152220.5,8551865.5,214476.5,,,,2220356.5,62706.0,,134783397.0,,42.0,20420.333333333332,14803.333333333334,,205593.66666666666,1560157.5,9141.0,11248786.0,20.0,1444400.0,5243971.5,36138.5,13.0,97224.0,293.0,86909.5,22019.0,,180.0,2647856.0,118937.0,534170.0
2016,37.0,8444.666666666666,2916.0,40003.0,173000.0,107800.5,,,13306.666666666666,29.5,1228144.0,14734.5,2255454.0,,182471.0,67545.5,1146004.0,355088.0,2540.5,221.0,0.0,32681749.25,3924047.0,,94287522.33333333,3291.6666666666665,58491.0,,1434814.0,13022608.0,242438.5,20000.0,,,3487739.6666666665,1891.0,,203280933.5,210.0,7.0,52619.0,14690.0,79.0,95193.5,372.5,9558.0,8280373.0,3.0,1597569.0,8259088.0,31736.0,2.0,154644.0,279.0,175403.0,2080.0,,3.0,1102421.0,622182.0,612684.5
2017,762.0,5117.666666666667,5009.0,18225.0,24000.0,87806.0,,,13668.5,10898.5,1080160.0,16060.75,2446358.0,151.0,128818.0,50809.0,594057.0,305132.0,4060.0,316.0,0.0,43653967.0,1949987.0,,155889593.5,1626.5,22401.0,,1460845.0,5165429.0,133957.5,40002.0,,2.0,3589394.75,62155.0,3.0,180593833.0,,4.0,39306.0,15859.666666666666,185.0,164013.0,10883.0,13604.5,1275.0,262.0,2407286.0,5996089.5,117034.66666666667,40.0,6743.0,221.5,203358.0,2886.5,400.0,,319992.0,441199.0,665012.0
2018,1304.0,1686.3333333333333,3333.0,12137.333333333334,22524.0,86810.5,,,17769.5,79.5,1070617.0,25696.0,2966062.0,,76276.0,81170.33333333333,381685.5,226450.0,2473.5,164.5,,35848679.75,213760.66666666666,,169774744.5,2261.6666666666665,347.0,,2078209.0,9205880.5,285883.0,59000.0,,,3330870.0,239309.0,,251422524.5,194925.0,10.5,31025.5,24446.0,66.0,176422.0,18349.0,16494.5,1276.0,251.0,542700.0,6248683.0,92272.0,,115008.0,799.5,221559.0,2821.6666666666665,407698.0,2.0,596289.5,645040.0,735057.0
2019,2743.0,2416.6666666666665,4971.0,53638.333333333336,9861959.0,61161.5,2090.0,,97484.0,17752.5,846921.0,27401.0,1008503.0,,47805.0,51296.333333333336,286485.0,596485.0,1588.0,176.5,,29753544.333333332,646980.5,,190164336.0,4902.5,2423.0,68040.0,2188410.0,22530988.0,359562.5,64910.0,,,3302037.5,27739.0,,199100595.66666666,54560.5,12.5,46356.0,25074.333333333332,6836.0,334490.0,22616.0,13211.5,599.0,394.0,725842.0,9452048.5,129427.5,85.0,19556.0,2059.0,217149.0,6658.5,,1.0,1548533.0,842653.0,1311662.5
2020,6165.0,1257.3333333333333,5065.0,46754.0,234500.0,41750.0,,,12063.5,673.0,1568663.6666666667,15039.25,2558400.0,10.0,20440.666666666668,48018.0,995594.0,362271.0,2410.0,236.0,,38727754.333333336,634914.0,,138440876.0,4170.0,2006.5,158760.0,4226123.0,22919972.0,213411.5,20000.0,,,4282379.5,,,211762331.0,,4.0,58628.0,22699.333333333332,61.0,280822.3333333333,150911.5,11789.5,44004979.0,4.0,244725.0,9591793.5,24151.333333333332,25.0,51492.0,580.0,95818.0,9626.0,400.0,47.0,1104529.5,804779.5,1230186.0
2021,6913.0,1765.5,3901.5,15731.0,27405.5,10835.0,,,13612.5,777.5,1212542.0,6934.25,34300.0,,13660.333333333334,122168.0,526607.3333333334,317010.5,770.75,212.5,,38810068.0,338675.5,,238536197.0,15263.0,1517.3333333333333,,3649801.5,10814481.0,354616.5,42022.5,,35.0,3016044.75,213984.0,,325774312.5,80160.0,12.5,32073.5,51816.333333333336,,353987.3333333333,192029.5,6765.0,3434326.3333333335,193.0,224601.0,11103435.5,27218.666666666668,14.0,,591.3333333333334,134250.0,3841.5,210.0,281.0,3913026.0,1224872.5,1753873.5
2022,28229.0,2320.75,5856.5,48830.333333333336,130000.0,17274.0,,,9638.5,1623.0,844471.3333333334,5568.333333333333,24.0,,32406.5,43180.333333333336,1710372.0,947384.0,1019.75,133.5,,52122470.0,2154880.5,,192671684.5,4084.0,4728.0,68040.0,3568635.0,21284119.0,969557.5,33797.5,,18.0,5564006.0,42042.0,601.5,179846347.66666666,,1300.0,127852.5,71066.0,162.0,587674.75,2186353.5,7618.0,14926886.0,3494.0,317570.0,17888564.0,27372.0,13.0,37058.0,661.0,217387.0,7206.333333333333,1202.0,73.0,3351475.0,876334.0,1101081.0
2023,26438.0,174.75,2899.5,13546.0,,26252.0,,,7540.0,1945.0,785845.25,5523.0,1094.0,,17967.5,57311.666666666664,460011.0,631156.3333333334,1437.0,4448.5,,43964990.666666664,1374389.0,,155054963.33333334,4850.0,7968.5,274959.0,4901679.0,22650625.0,590521.5,71835.0,,41.0,5279684.0,52968.0,11.0,195369310.0,1.0,653.6666666666666,231856.5,45183.0,117.0,686391.75,4270200.0,9854.0,136463958.0,22604.0,105018.5,49750259.0,27120.0,,70344.0,521.5,203798.0,2591.0,887.0,130.0,4375707.0,1014960.6666666666,1074109.0
2024,24832.0,835.6666666666666,9694.5,23540.5,20.0,41203.0,,,8625.333333333334,20086.0,506035.6666666667,6844.0,1801.0,19535.0,40364.0,93263.0,607931.0,798319.6666666666,2297.5,299.5,,42303289.333333336,131564.5,,143557850.25,11166.5,4916.5,136102.0,3593017.5,24515190.0,639077.3333333334,138750.0,3586.5,44.0,3658569.0,107433.0,270.0,181265613.33333334,375579.0,4.333333333333333,214975.0,75969.5,1325.0,842368.75,1768285.5,19637.0,1736.0,571.0,80522.0,61307150.0,23289.0,24.5,82564.0,973.0,175836.0,5961.0,356.0,114.0,5361566.0,1056485.75,2930530.0
