date,"Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ.","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες",Ανόργανα χημικά,"Βαφικές, δεψικές και χρωστικές ύλες",Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27),Γαλακτοκομικά προϊόντα και αυγά πτηνών,"Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα",Δημητριακά και παρασκευάσματα δημητριακών,"Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα",Διάφορα βρώσιμα προϊόντα και παρασκευάσματα,"Δορές, δέρματα και γουναρικά ακατέργαστα",Είδη από καουτσούκ,"Είδη από μέταλλο, μη κατονομαζόμενα","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα",Είδη από φελλό και ξύλο (εκτός επίπλων),Είδη ενδυμασίας και συμπληρώματα ένδυσης,"Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη",Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα,Ελαιόσποροι και ελαιώδεις καρποί,"Ζάχαρη, παρασκευάσματα ζάχαρης και μέλι",Ζωοτροφές,"Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)",Ιατρικά και φαρμακευτικά προϊόντα,Καουτσούκ ακατέργαστο (περιλαμβάνεται το συνθετικό και το αναγεννημένο),Καπνός και προϊόντα καπνού,"Καφές, τσάι, κακάο, μπαχαρικά, υλικά και προϊόντα τους",Κρέας και παρασκευάσματα κρέατος,"Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα",Λαχανικά και φρούτα,"Λιπάσματα ακατέργαστα και ορυκτά ακατέργαστα (εκτός από άνθρακα, πετρέλαιο και πολύτιμους λίθους)",Λοιπό μεταφορικό υλικό,Μεταλλεύματα και απορρίμματα μετάλλων,Μη σιδηρούχα μέταλλα,Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων,Μηχανήματα ειδικά για ορισμένες βιομηχανίες,Μηχανήματα και εξοπλισμός παραγωγής ενέργειας,Μηχανήματα κατεργασίας μετάλλων,Ξυλεία και φελλός,Οργανικά χημικά,Οχήματα για δρόμους,Πετρέλαιο και προϊόντα πετρελαίου,Πλαστικές ύλες σε μη πρωτογενή μορφή,Πλαστικές ύλες σε πρωτογενή μορφή,Πολτός και απορρίμματα χαρτιού,Ποτά,"Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα",Σίδηρος και χάλυβας,Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου,Υποδήματα,"Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα","Υφαντικές ίνες (εκτός από μάλλινα νήματα και άλλο ακατέργαστο μαλλί) και απορρίμματα αυτών, μη μεταποιημένα σε κλωστές ή υφάσματα","Φωταέριο, φυσικό και βιομηχανικό","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα","Ψάρια (μη θαλάσσια θηλαστικά), μαλακόστρακα, μαλάκια και υδρόβια, ασπόνδυλα και τα παρασκευάσματά τους"
2012,,3035.0,269.0,28813.666666666668,33934.0,276000.0,151545.5,,,280048.6666666667,,14940.0,12777.25,9371.0,,271621.0,93933.66666666667,26125888.0,,59.0,,,,,,218318.0,4.0,,544215.0,,,,168529.5,795893.25,9582338.5,3490.0,48000.0,859409.5,16785.0,136511.25,3035.3333333333335,739.6666666666666,,,111925.33333333333,60018833.0,6273.0,312662.0,,55794.0,2515.5,241673.0,1854.5,,11234.333333333334,970.0,11635.0,21.0,10351.0,12029.5,
2013,,6680.5,2.0,11203.25,16869.5,145200.0,213390.0,,,288492.3333333333,8.0,16337.333333333334,20950.75,4578.0,,33624.5,58777.0,33450712.0,,50.5,5.0,,,4303.0,,226599.5,1224.3333333333333,,506157.5,1164.0,,,135073.66666666666,451482.0,17752360.666666668,3294.5,,225775.33333333334,1857.0,33942.5,4052.5,32638.5,,,29651.75,70529228.0,44099.0,684972.0,45.0,7494.5,137.5,,1840.0,59.0,20162.0,,1418117.0,416.5,9500.0,345.0,
2014,,565.0,7485.25,34743.333333333336,17428.5,32.0,211387.5,,59.0,112621.5,,37689.5,24975.0,427364.6666666667,,16787.666666666668,102084.0,105078105.66666667,,1333.0,50.5,,214.0,,,171129.66666666666,42.5,,493989.5,192.0,,,201299.5,1675023.5,4673336.0,1040.0,112115.0,334634.0,308.5,33906.666666666664,18549.333333333332,22185.333333333332,,1430.0,293.0,158.0,181844.0,736917.0,,41596.0,861.0,291890.0,506.6666666666667,124.0,20021.5,1155.0,34838.0,75.5,23762.0,113336.66666666667,26904.0
2015,,2345.0,9533.666666666666,60082.5,16381.5,67965.0,139278.66666666666,,,145879.0,2.0,19497.0,24350.0,6439.0,,79629.0,650988.75,47768972.75,420.0,760.0,40.0,,,700.0,,236021.0,2603.0,,495455.75,432.0,,750.0,104203.33333333333,1296586.6666666667,22606227.25,697.0,,158777.33333333334,283.0,41698.0,244492.33333333334,60.666666666666664,,298.0,3254.3333333333335,468.0,81477.33333333333,776950.0,,30139.0,167679.5,73719.0,186.0,121.0,36534.25,1400.0,8760.0,6.0,3704.5,149569.66666666666,
2016,,5714.0,794.75,20741.0,20406.5,,112536.33333333333,,,109369.75,,71521.0,27118.0,460.5,,2569.3333333333335,118277.66666666667,17953344.5,,565.5,105.0,0.0,,621.5,,76296.33333333333,556.5,,449555.6666666667,384.0,,,236640.5,1172456.25,30454253.333333332,,,125548.66666666667,744.3333333333334,5489.666666666667,20068.0,3715.5,,191.0,314.6666666666667,218978111.0,78056.66666666667,971067.0,,7720.0,74.66666666666667,1444.0,234.33333333333334,35.0,13170.25,1500.0,16942.0,4.0,6200.0,230111.25,
2017,,,9592.25,9096.0,12696.0,88500.0,108575.66666666667,183600.0,,221361.5,,81468.0,11893.75,1959.0,87.0,6055.333333333333,86592.5,2519638.0,,572.3333333333334,154.0,,,650.5,,82705.0,5517.333333333333,,396235.6666666667,1488.0,,,148122.33333333334,1670928.5,24795340.0,0.0,,129664.66666666667,982.0,15152.75,13964.666666666666,13033.666666666666,,284.0,162.66666666666666,2009167.0,79916.66666666667,818340.0,,33240.0,308.0,89.0,1410.3333333333333,101.0,10358.75,70000.0,31456.0,178.5,8066.0,30022.25,
2018,,6556.0,6956.666666666667,33839.0,5403.0,1431000.0,89668.25,21460.0,968.0,85780.75,,71128.66666666667,18705.75,2657.0,,11942.0,94334.75,70818633.5,11.0,835.0,548.0,,,156.5,,57762.0,7157.25,30625.0,691499.0,96.0,,,174565.0,1146976.75,2094388.75,816.0,,188735.0,553.3333333333334,31822.5,19635.0,11222.0,,114.5,158.0,111805594.5,62530.666666666664,899461.0,,51322.0,736.5,5003.0,2589.6666666666665,67.33333333333333,18472.5,12565.0,29817.0,61.0,3723.75,278295.0,
2019,,881.0,477.75,1755.25,3734.3333333333335,2340000.0,70805.5,22970.0,1876.0,31163.666666666668,1.0,89258.0,18658.5,39589.5,,12858.0,65509.5,38461917.75,220.0,1513.3333333333333,8.0,,,53.0,,56453.75,151734.25,,232884.66666666666,11702.0,10.0,,125660.0,469228.75,773338.5,472.0,,194351.33333333334,584.0,35329.75,25392.0,202.33333333333334,1188.0,105.66666666666667,103.5,232551736.0,70556.66666666667,1689386.0,,60661.0,76.66666666666667,2880.0,1596.0,169.0,31973.25,1450.0,40483.0,35.333333333333336,7875.333333333333,56460.25,10.0
2020,,11.0,1979.0,5009.0,,651878.3333333334,58911.75,,1882.0,230716.0,,42415.333333333336,13703.333333333334,42611.5,,10548.5,60987.0,1367947.0,,2079.0,15.0,,,,,46352.5,159526.75,,199328.66666666666,6.0,,,182349.5,1329312.5,974046.25,9000.0,,286019.6666666667,1228.3333333333333,28169.5,23546.0,15414.5,,271.5,44.0,17000315.0,56701.25,793077.0,,38180.0,325.5,6239.0,254.0,127.33333333333333,38095.0,1200.0,17510.0,1.0,5914.666666666667,328080.6666666667,
2021,,4319.0,1783.0,374.0,101.0,915000.0,65589.0,96000.0,2443.5,19883.75,1.0,58276.0,16569.5,8855.5,,13798.333333333334,58196.5,1851110.25,5.0,976.5,44.0,0.0,,,,58777.5,344614.6666666667,,253541.75,7237.0,,,110871.0,764196.25,677891.25,115.0,65.0,354395.6666666667,1378.3333333333333,29283.5,15336.5,11863.5,,5232.0,16068.666666666666,48826716.0,52378.0,406636.6666666667,,67070.0,25.0,26661.0,279.0,68.0,43996.25,4025.0,25889.0,10.0,9447.333333333334,214735.75,
2022,,24.0,2330.25,2135.5,5801.0,1238198.6666666667,60197.5,177720.0,3027.5,16718.0,10.0,60363.666666666664,9338.0,6963.0,,8339.0,118154.66666666667,1566436.0,19595.0,1587.6666666666667,68.0,,,173.0,,67933.66666666667,196762.5,5000.0,246859.66666666666,33432.0,,,163121.0,500652.25,634110.0,809.5,,459249.6666666667,1107.25,72950.33333333333,21367.75,84343.0,,11645.5,4812.25,7783932.0,31579.0,949422.0,,82872.33333333333,737.3333333333334,6820.0,325.0,166.0,43168.25,750.0,25992.0,48.0,10231.0,304730.25,
2023,,1103.5,3403.5,20610.5,4685.5,1297000.0,112304.5,48000.0,1720.0,130171.66666666667,291.0,26945.0,8821.25,974.0,,9632.666666666666,64947.0,769340.6666666666,120890.0,782.25,65.0,,,173.0,,45282.0,270990.5,35000.0,92371.75,77408.5,,,121392.66666666667,1528927.5,721845.0,8.666666666666666,,159729.75,384.0,39798.5,25502.75,883.5,,10250.0,13.5,21248962.333333332,52315.0,746437.0,,92130.0,306.0,9446354.0,287.3333333333333,231.5,19670.5,1425.0,34511.0,6.0,3475.3333333333335,606572.75,
2024,205.0,1605.5,2393.0,31182.75,2050.0,1773515.0,130263.66666666667,59880.0,2977.0,10295.666666666666,1.0,23406.0,10308.75,8673.5,,6528.333333333333,88675.5,1154670.6666666667,61835.0,1510.6666666666667,86.0,,,880.0,,36801.25,234634.0,99069.5,503089.5,2134.5,,,74495.66666666667,3872285.5,586260.0,19.0,,139094.66666666666,993.6666666666666,159103.5,23989.333333333332,45400.0,,9600.5,763.3333333333334,18037203.333333332,50731.25,268965.5,,91020.75,3311.0,4217.5,478.5,64.0,44333.25,3130.0,17301.0,7.0,19739.333333333332,41999.5,
