Division_Code,Division_EN,Division_GR
28,"Metalliferous ores and metal scrap","Μεταλλεύματα και απορρίμματα μετάλλων"
29,"Crude animal and vegetable materials, n.e.s.","Ακατέργαστες ύλες ζωικής ή φυτικής προέλευσης, μη κατονομαζόμενες"
32,"Coal, coke and briquettes","Άνθρακας, οπτάνθρακας (κωκ) και μπρικέτες"
33,"Petroleum, petroleum products and related materials","Πετρέλαιο και προϊόντα πετρελαίου"
34,"Gas, natural and manufactured","Φωταέριο, φυσικό και βιομηχανικό"
35,"Electric current","Ηλεκτρική ενέργεια"
41,"Animal oils and fats","Λάδια και λίπη ζωικής προέλευσης"
42,"Fixed vegetable fats and oils, crude, refined or fractionated","Λάδια και λίπη σταθεράς φυτικής προέλευσης, ακατέργαστα και εξευγενισμένα"
43,"Animal or vegetable fats and oils, processed; waxes of animal or vegetable origin; inedible mixtures or preparations of animal or vegetable fats or oils, n.e.s.","Λάδια και λίπη επεξεργασμένα και κερί ζωικής ή φυτικής προέλευσης, μη εδώδιμα μείγματα ή παρασκευάσματα από ζωικά ή φυτικά λίπη και έλαια, μη κατονομαζόμενα"
51,"Organic chemicals","Οργανικά χημικά"
52,"Inorganic chemicals","Ανόργανα χημικά"
53,"Dyeing, tanning and colouring materials","Βαφικές, δεψικές και χρωστικές ύλες"
54,"Medicinal and pharmaceutical products","Ιατρικά και φαρμακευτικά προϊόντα"
55,"Essential oils and resinoids and perfume materials; toilet, polishing and cleaning preparations","Αιθέρια λάδια, ρητινοειδή και αρωματικές ύλες. Παρασκευάσματα καλλωπισμού, στίλβωσης και καθαρισμού"
56,"Fertilizers (other than those of group 272)","Βιομηχανικά λιπάσματα (εκτός αυτών της κατηγορίας 27)"
57,"Plastics in primary forms","Πλαστικές ύλες σε πρωτογενή μορφή"
58,"Plastics in non-primary forms","Πλαστικές ύλες σε μη πρωτογενή μορφή"
59,"Chemical materials and products, n.e.s.","Χημικές ύλες και προϊόντα, μη κατονομαζόμενα"
61,"Leather, leather manufactures, n.e.s., and dressed furskins","Δέρματα, είδη από δέρμα, μη κατονομαζόμενα, και γουναρικά κατεργασμένα"
62,"Rubber manufactures, n.e.s.","Είδη από καουτσούκ"
63,"Cork and wood manufactures (excluding furniture)","Είδη από φελλό και ξύλο (εκτός επίπλων)"
64,"Paper, paperboard and articles of paper pulp, of paper or of paperboard","Χαρτί, χαρτόνια και είδη από χαρτοπολτό, χαρτί ή χαρτόνι"
65,"Textile yarn, fabrics, made-up articles, n.e.s., and related products","Υφαντικά νήματα, υφάσματα έτοιμα, προϊόντα μη κατονομαζόμενα και συναφή προϊόντα"
66,"Non-metallic mineral manufactures, n.e.s.","Είδη από μη μεταλλικά ορυκτά, μη κατονομαζόμενα"
67,"Iron and steel","Σίδηρος και χάλυβας"
68,"Non-ferrous metals","Μη σιδηρούχα μέταλλα"
69,"Manufactures of metals, n.e.s.","Είδη από μέταλλο, μη κατονομαζόμενα"
71,"Power-generating machinery and equipment","Μηχανήματα και εξοπλισμός παραγωγής ενέργειας"
72,"Machinery specialized for particular industries","Μηχανήματα ειδικά για ορισμένες βιομηχανίες"
73,"Metalworking machinery","Μηχανήματα κατεργασίας μετάλλων"
74,"General industrial machinery and equipment, n.e.s., and machine parts, n.e.s.","Γενικός βιομηχανικός εξοπλισμός, μηχανήματα και μέρη αυτών, μη κατονομαζόμενα"
75,"Office machines and automatic data-processing machines","Μηχανές γραφείου και μηχανές αυτόματης επεξεργασίας στοιχείων"
76,"Telecommunications and sound-recording and reproducing apparatus and equipment","Συσκευές και εξοπλισμός τηλεπικοινωνιών και εγγραφής και αναπαραγωγής του ήχου"
77,"Electrical machinery, apparatus and appliances, n.e.s., and electrical parts thereof (including nonelectrical counterparts, n.e.s., of electrical household-type equipment)","Ηλεκτρικά μηχανήματα, συσκευές, υλικά μη κατονομαζόμενα και ηλεκτρικά μέρη αυτών (περιλαμβάνονται τα αντίστοιχα μη ηλεκτρικά είδη, τα μη κατονομαζόμενα του οικιακού εξοπλισμού)"
78,"Road vehicles (including air-cushion vehicles)","Οχήματα για δρόμους"
79,"Other transport equipment","Λοιπό μεταφορικό υλικό"
81,"Prefabricated buildings; sanitary plumbing, heating and lighting fixtures and fittings, n.e.s.","Προκατασκευασμένα κτίρια, συσκευές υγιεινής, θέρμανσης και φωτισμού, μη κατονομαζόμενα"
82,"Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings","Έπιπλα και μέρη αυτών, κρεβάτια, στρώματα, υποστηρίγματα στρωμάτων, μαξιλάρια και παρόμοιος εξοπλισμός επίπλωση"
83,"Travel goods, handbags and similar containers","Είδη ταξιδιού, σακίδια χεριού και παρόμοια είδη"
84,"Articles of apparel and clothing accessories","Είδη ενδυμασίας και συμπληρώματα ένδυσης"
85,"Footwear","Υποδήματα"
87,"Professional, scientific and controlling instruments and apparatus, n.e.s.","Όργανα και συσκευές επαγγελματικές, επιστημονικές και ελέγχου μ.α.κ."
88,"Photographic apparatus, equipment and supplies and optical goods, n.e.s.; watches and clocks","Φωτογραφικές συσκευές και εφόδια για τη φωτογράφιση, είδη οπτικής, μη κατονομαζόμενα, ωρολόγια χεριού και τοίχου"
89,"Miscellaneous manufactured articles, n.e.s.","Διάφορα βιομηχανικά είδη, μη κατονομαζόμενα"
91,"Postal packages not classified according to kind","Ταχυδρομικά δέματα μη ταξινομημένα κατά είδος"
93,"Special transactions and commodities not classified according to kind","Ειδικές συναλλαγές και εμπορεύματα μη ταξινομημένα"
96,"Coin (other than gold coin), not being legal tender","Νομίσματα (εκτός των χρυσών)"
97,"Gold, non- monetary (excluding gold, ores and concentrates)","Χρυσός μη νομισματικός"
