date,EL,EU_median
2006-12-01,-2461.0,-306.3
2007-01-01,-3178.0,-519.35
2007-02-01,-3666.0,-601.95
2007-03-01,-4276.0,-583.85
2007-04-01,-3087.0,-758.4000000000001
2007-05-01,-2634.0,-705.7
2007-06-01,-2519.0,-454.8
2007-07-01,-2192.0,-445.90000000000003
2007-08-01,-260.0,-287.4
2007-09-01,-1676.0,-596.8
2007-10-01,-3448.0,-823.35
2007-11-01,-3677.0,-543.6
2007-12-01,-4730.0,-1127.15
2008-01-01,-3601.0,-265.2
2008-02-01,-2246.0,-227.3
2008-03-01,-4172.0,-264.0
2008-04-01,-3619.0,-445.95
2008-05-01,-2988.0,-359.65
2008-06-01,-3224.0,-632.9
2008-07-01,-2571.0,-327.2
2008-08-01,-604.0,-200.0
2008-09-01,-2788.0,-335.25
2008-10-01,-3890.0,-535.05
2008-11-01,-3693.0,-349.6
2008-12-01,-3173.0,-545.6
2009-01-01,-3274.0,-324.1
2009-02-01,-1292.0,-34.05
2009-03-01,-3055.0,-114.0
2009-04-01,-2898.0,-16.25
2009-05-01,-1923.0,-114.10000000000001
2009-06-01,-2732.0,-287.75
2009-07-01,-1952.0,32.05
2009-08-01,-638.0,-12.549999999999999
2009-09-01,-1903.0,19.450000000000003
2009-10-01,-2776.0,7.800000000000001
2009-11-01,-3599.0,-72.35
2009-12-01,-3280.0,-152.6
2010-01-01,-2975.0,-18.0
2010-02-01,-2866.0,-114.4
2010-03-01,-3634.0,-50.7
2010-04-01,-2487.0,18.0
2010-05-01,348.0,-66.3
2010-06-01,-1719.0,-39.15
2010-07-01,-968.0,-36.35
2010-08-01,73.0,43.9
2010-09-01,-1434.0,-5.1
2010-10-01,-2496.0,-114.15
2010-11-01,-2185.0,-96.1
2010-12-01,-2305.0,-218.5
2011-01-01,-1750.0,-100.5
2011-02-01,-1605.0,-72.1
2011-03-01,-2601.0,-112.6
2011-04-01,-1963.0,-171.4
2011-05-01,-1495.0,-413.0
2011-06-01,-1814.0,-72.8
2011-07-01,-255.0,48.3
2011-08-01,-75.0,-59.8
2011-09-01,-1074.0,-11.4
2011-10-01,-1159.0,-95.0
2011-11-01,-2045.0,-42.0
2011-12-01,-1995.0,-150.5
2012-01-01,-1002.0,-212.7
2012-02-01,-915.0,-238.8
2012-03-01,-3022.0,-35.4
2012-04-01,-1070.0,-117.0
2012-05-01,-669.0,-53.0
2012-06-01,16.0,138.0
2012-07-01,809.0,276.5
2012-08-01,1246.0,39.2
2012-09-01,1029.0,131.7
2012-10-01,-975.0,-2.2
2012-11-01,-1118.0,87.7
2012-12-01,-992.0,-67.5
2013-01-01,-789.0,-93.7
2013-02-01,-1218.0,-22.0
2013-03-01,-1613.0,70.7
2013-04-01,-1116.0,181.0
2013-05-01,-407.0,72.0
2013-06-01,279.0,230.8
2013-07-01,2657.0,304.6
2013-08-01,1240.0,182.0
2013-09-01,661.0,56.9
2013-10-01,-684.0,105.5
2013-11-01,-1002.0,61.9
2013-12-01,-595.0,-13.0
2014-01-01,-321.0,-84.9
2014-02-01,-945.0,52.3
2014-03-01,-322.0,91.0
2014-04-01,-1106.0,-58.0
2014-05-01,-616.0,11.4
2014-06-01,1068.0,164.2
2014-07-01,1433.0,241.0
2014-08-01,2055.0,179.0
2014-09-01,707.0,334.0
2014-10-01,-244.0,227.5
2014-11-01,-1367.0,42.0
2014-12-01,-1659.0,46.3
2015-01-01,-459.0,7.0
2015-02-01,-1592.0,-39.0
2015-03-01,-1655.0,72.0
2015-04-01,-1283.0,-25.6
2015-05-01,-274.0,-51.9
2015-06-01,248.0,189.6
2015-07-01,2502.0,214.7
2015-08-01,2227.0,141.2
2015-09-01,862.0,229.8
2015-10-01,187.0,184.5
2015-11-01,-1266.0,26.0
2015-12-01,-935.0,12.8
2016-01-01,-830.0,57.9
2016-02-01,-1029.0,-44.2
2016-03-01,-890.0,-9.0
2016-04-01,-878.0,-45.8
2016-05-01,-625.0,-61.0
2016-06-01,681.0,455.0
2016-07-01,1219.0,306.4
2016-08-01,1623.0,108.1
2016-09-01,722.0,244.1
2016-10-01,-416.0,244.0
2016-11-01,-1462.0,149.9
2016-12-01,-1166.0,-32.0
2017-01-01,-421.0,10.7
2017-02-01,-1185.0,96.0
2017-03-01,-1515.0,184.3
2017-04-01,-682.0,11.8
2017-05-01,-772.0,-15.0
2017-06-01,603.0,255.8
2017-07-01,1351.0,298.4
2017-08-01,1707.0,208.0
2017-09-01,958.0,287.0
2017-10-01,-810.0,236.0
2017-11-01,-1146.0,77.9
2017-12-01,-1493.0,44.0
2018-01-01,-531.0,68.0
2018-02-01,-1403.0,25.5
2018-03-01,-1158.0,-55.0
2018-04-01,-1492.0,-56.4
2018-05-01,31.0,-3.0
2018-06-01,-15.0,54.5
2018-07-01,1308.0,94.8
2018-08-01,1354.0,221.1
2018-09-01,548.0,169.0
2018-10-01,-915.0,19.7
2018-11-01,-1446.0,60.8
2018-12-01,-1515.0,-53.8
2019-01-01,-1196.0,66.4
2019-02-01,-1029.0,59.2
2019-03-01,-1552.0,16.0
2019-04-01,-1411.0,32.5
2019-05-01,256.0,146.9
2019-06-01,792.0,242.4
2019-07-01,1333.0,220.0
2019-08-01,1803.0,270.0
2019-09-01,914.0,289.7
2019-10-01,-678.0,114.0
2019-11-01,-1385.0,92.3
2019-12-01,-572.0,93.0
2020-01-01,-1275.0,37.0
2020-02-01,-1140.0,296.4
2020-03-01,-1104.0,-20.6
2020-04-01,-1131.0,-30.1
2020-05-01,-911.0,102.6
2020-06-01,-1411.0,242.0
2020-07-01,-782.0,171.7
2020-08-01,-151.0,225.6
2020-09-01,-446.0,341.0
2020-10-01,-736.0,419.4
2020-11-01,-1239.0,112.0
2020-12-01,-639.0,-28.2
2021-01-01,-500.0,122.0
2021-02-01,-803.0,85.4
2021-03-01,-1488.0,105.0
2021-04-01,-2098.0,17.1
2021-05-01,-1387.0,-124.2
2021-06-01,-1347.0,45.4
2021-07-01,415.0,234.7
2021-08-01,1402.0,236.5
2021-09-01,-296.0,35.8
2021-10-01,-1151.0,66.1
2021-11-01,-2741.0,14.0
2021-12-01,-2277.0,-489.4
2022-01-01,-2174.0,-94.0
2022-02-01,-2420.0,-235.4
2022-03-01,-2609.0,-346.6
2022-04-01,-1745.0,-568.0
2022-05-01,-2285.0,-263.0
2022-06-01,-1112.0,-166.0
2022-07-01,820.0,-113.5
2022-08-01,478.0,-61.4
2022-09-01,-850.0,-218.0
2022-10-01,-2711.0,-138.0
2022-11-01,-3909.0,-107.4
2022-12-01,-2708.0,-281.8
2023-01-01,-162.0,13.7
2023-02-01,-1338.0,-33.5
2023-03-01,-2397.0,-37.2
2023-04-01,-1866.0,-21.0
2023-05-01,-1632.0,30.1
2023-06-01,-731.0,376.0
2023-07-01,847.0,54.2
2023-08-01,479.0,260.9
2023-09-01,-330.0,327.0
2023-10-01,-1291.0,96.6
2023-11-01,-3281.0,196.9
2023-12-01,-2269.0,73.0
2024-01-01,1706.0,153.4
2024-02-01,-3159.0,164.7
2024-03-01,-2597.0,359.1
2024-04-01,-2688.0,57.0
2024-05-01,-2352.0,125.7
2024-06-01,271.0,329.9
2024-07-01,246.0,246.0
