Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Party,Percent,Party_Gr,Party_En,Acronym
Metron Analysis,,2023-06-21,2023-06-23,National,1219,Provided,Not Available,0.1%,SYRIZA,0.196,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ΑΝΤ1,2023-06-20,2023-06-22,National,1506,Provided,Not Available,0.1%,SYRIZA,0.193,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-06-20,2023-06-22,National,1021,Provided,Not Available,0.1%,SYRIZA,0.2,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-06-20,2023-06-22,National,1000,Provided,Not Available,0.1%,SYRIZA,0.201,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Palmos Analysis,Tvxs.gr,2023-06-19,2023-06-22,National,1023,Provided,Not Available,0.1%,SYRIZA,0.18600000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Rass,iefimerida,2023-06-19,2023-06-22,National,1005,Provided,Not Available,0.1%,SYRIZA,0.171,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-06-16,2023-06-21,National,1403,Provided,Not Available,0.1%,SYRIZA,0.19699999999999998,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-06-15,2023-06-21,National,1302,Provided,Not Available,0.1%,SYRIZA,0.20800000000000002,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-06-18,2023-06-20,National,1016,Provided,Not Available,0.1%,SYRIZA,0.2,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2023-06-16,2023-06-19,National,2005,Provided,Not Available,0.1%,SYRIZA,0.214,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Newsbomb,2023-06-15,2023-06-19,National,1000,Provided,Not Available,0.1%,SYRIZA,0.2,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2023-06-12,2023-06-15,National,1853,Provided,Not Available,0.1%,SYRIZA,0.20199999999999999,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Το Βήμα,2023-06-09,2023-06-15,National,1201,Provided,Not Available,0.1%,SYRIZA,0.196,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,The TOC,2023-06-12,2023-06-14,National,1001,Provided,Not Available,0.1%,SYRIZA,0.20199999999999999,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2023-06-12,2023-06-14,National,1000,Provided,Not Available,0.1%,SYRIZA,0.18899999999999997,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-06-08,2023-06-12,National,1308,Provided,Not Available,0.1%,SYRIZA,0.19399999999999998,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ΑΝΤ1,2023-06-07,2023-06-11,National,1501,Provided,Not Available,0.1%,SYRIZA,0.198,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-06-07,2023-06-10,National,1200,Provided,Not Available,0.1%,SYRIZA,0.192,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-06-06,2023-06-10,National,1200,Provided,Not Available,0.1%,SYRIZA,0.196,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Τα Νέα,2023-06-06,2023-06-08,National,1000,Provided,Not Available,0.1%,SYRIZA,0.209,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-06-06,2023-06-07,National,1000,Provided,Not Available,0.1%,SYRIZA,0.2,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2023-05-30,2023-05-31,National,1000,Provided,Not Available,0.1%,SYRIZA,0.221,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2023-05-23,2023-05-31,National,3008,Provided,Not Available,0.1%,SYRIZA,0.209,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-05-25,2023-05-30,National,1202,Provided,Not Available,0.1%,SYRIZA,0.191,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Κάπα Research,,2022-05-22,2023-05-23,National,1002,Provided,Not Available,0.1%,SYRIZA,0.195,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-05-16,2023-05-19,National,1100,Provided,Not Available,0.1%,SYRIZA,0.303,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-05-14,2023-05-19,National,1425,Provided,Not Available,0.1%,SYRIZA,0.29,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ΑΝΤ1,2023-05-16,2023-05-18,National,1266,Provided,Not Available,0.1%,SYRIZA,0.297,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Rass,iefimerida,2023-05-15,2023-05-18,National,1221,Provided,Not Available,0.1%,SYRIZA,0.28600000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2023-05-15,2023-05-17,National,1200,Provided,Not Available,0.1%,SYRIZA,0.303,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Palmos Analysis,Tvxs.gr,2023-05-13,2023-05-17,National,1306,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2023-05-12,2023-05-17,National,2405,Provided,Not Available,0.1%,SYRIZA,0.307,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-05-12,2023-05-17,National,1500,Provided,Not Available,0.1%,SYRIZA,0.281,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Rass,Action 24,2023-06-13,2023-05-16,National,1110,Provided,Not Available,0.1%,SYRIZA,0.179,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-05-11,2023-05-16,National,1200,Provided,Not Available,0.1%,SYRIZA,0.292,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Η Εφημερίδα των Συντακτών,2023-05-28,2023-05-11,National,1000,Provided,Not Available,0.1%,SYRIZA,0.3,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2023-05-10,2023-05-11,National,1120,Provided,Not Available,0.1%,SYRIZA,0.304,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2023-05-09,2023-05-11,National,1212,Provided,Not Available,0.1%,SYRIZA,0.3,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-05-04,2023-05-11,National,2105,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ΑΝΤ1,2023-05-05,2023-05-09,National,1286,Provided,Not Available,0.1%,SYRIZA,0.301,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Κάπα Research,,2022-05-05,2023-05-09,National,1202,Provided,Not Available,0.1%,SYRIZA,0.299,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-05-04,2023-05-07,National,1064,Provided,Not Available,0.1%,SYRIZA,0.298,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-05-03,2023-05-06,National,1000,Provided,Not Available,0.1%,SYRIZA,0.292,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-04-25,2023-05-05,National,1305,Provided,Not Available,0.1%,SYRIZA,0.278,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Τα Νέα,2023-05-02,2023-05-03,National,1000,Provided,Not Available,0.1%,SYRIZA,0.304,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2023-04-27,2023-04-30,National,1705,Provided,Not Available,0.1%,SYRIZA,0.28600000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Attica TV,2023-04-27,2023-04-30,National,1147,Provided,Not Available,0.1%,SYRIZA,0.307,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-04-24,2023-04-26,National,1000,Provided,Not Available,0.1%,SYRIZA,0.28600000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-04-19,2023-04-23,National,1051,Provided,Not Available,0.1%,SYRIZA,0.292,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-04-18,2023-04-22,National,1000,Provided,Not Available,0.1%,SYRIZA,0.28800000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,The TOC,2023-04-18,2023-04-21,National,1003,Provided,Not Available,0.1%,SYRIZA,0.295,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Το Βήμα,2023-04-19,2023-04-20,National,1007,Provided,Not Available,0.1%,SYRIZA,0.27,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2023-04-03,2023-04-05,National,1000,Provided,Not Available,0.1%,SYRIZA,0.302,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-03-30,2023-04-03,National,1107,Provided,Not Available,0.1%,SYRIZA,0.299,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2023-03-28,2023-04-01,National,1415,Provided,Not Available,0.1%,SYRIZA,0.294,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Rass,Action 24,2023-03-27,2023-03-31,National,1001,Provided,Not Available,0.1%,SYRIZA,0.26899999999999996,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2023-03-27,2023-03-30,National,1213,Provided,Not Available,0.1%,SYRIZA,0.292,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Palmos Analysis,Tvxs.gr,2023-03-27,2023-03-30,National,1083,Provided,Not Available,0.1%,SYRIZA,0.262,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Η Εφημερίδα των Συντακτών,2023-03-24,2023-03-28,National,1085,Provided,Not Available,0.1%,SYRIZA,0.304,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Newsbomb,2023-03-24,2023-03-28,National,1000,Provided,Not Available,0.1%,SYRIZA,0.294,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-03-22,2023-03-28,National,1306,Provided,Not Available,0.1%,SYRIZA,0.267,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Rass,iefimerida,2023-03-24,2023-03-27,National,1030,Provided,Not Available,0.1%,SYRIZA,0.276,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Star TV,2023-03-18,2023-03-21,National,1200,Provided,Not Available,0.1%,SYRIZA,0.307,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-03-13,2023-03-17,National,1001,Provided,Not Available,0.1%,SYRIZA,0.28800000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-03-13,2023-03-15,National,1121,Provided,Not Available,0.1%,SYRIZA,0.303,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-03-07,2023-03-13,National,1201,Provided,Not Available,0.1%,SYRIZA,0.263,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-03-06,2023-03-13,National,1450,Provided,Not Available,0.1%,SYRIZA,0.297,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Attica TV,2023-03-08,2023-03-11,National,1102,Provided,Not Available,0.1%,SYRIZA,0.308,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2023-03-06,2023-03-09,National,1305,Provided,Not Available,0.1%,SYRIZA,0.294,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2023-03-06,2023-03-08,National,1000,Provided,Not Available,0.1%,SYRIZA,0.306,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ANT1,2023-03-04,2023-03-07,National,1241,Provided,Not Available,0.1%,SYRIZA,0.293,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2023-02-16,2023-02-20,National,1505,Provided,Not Available,0.1%,SYRIZA,0.292,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,The TOC,2023-02-14,2023-02-17,National,1004,Provided,Not Available,0.1%,SYRIZA,0.29600000000000004,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-02-13,2023-02-17,National,1001,Provided,Not Available,0.1%,SYRIZA,0.287,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2023-02-07,2023-02-09,National,1000,Provided,Not Available,0.1%,SYRIZA,0.298,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2023-02-03,2023-02-08,National,1009,Provided,Not Available,0.1%,SYRIZA,0.29,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ANT1,2023-01-24,2023-01-31,National,1585,Provided,Not Available,0.1%,SYRIZA,0.289,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2023-01-23,2023-01-24,National,1000,Provided,Not Available,0.1%,SYRIZA,0.289,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Star TV,2023-01-20,2023-01-24,National,1200,Provided,Not Available,0.1%,SYRIZA,0.3,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2023-01-19,2023-01-23,National,1205,Provided,Not Available,0.1%,SYRIZA,0.29100000000000004,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Attica TV,2023-01-19,2023-01-23,National,1018,Provided,Not Available,0.1%,SYRIZA,0.308,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Rass,Action 24,2023-01-16,2023-01-20,National,1003,Provided,Not Available,0.1%,SYRIZA,0.278,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2023-01-11,2023-01-17,National,1309,Provided,Not Available,0.1%,SYRIZA,0.276,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2023-01-12,2023-01-16,National,1675,Provided,Not Available,0.1%,SYRIZA,0.284,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,The TOC,2023-01-11,2023-01-13,National,1005,Provided,Not Available,0.1%,SYRIZA,0.293,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2023-01-09,2023-01-13,National,1002,Provided,Not Available,0.1%,SYRIZA,0.278,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,Πρώτο ΘΕΜΑ,2022-12-16,2022-12-21,National,1003,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2022-12-18,2022-12-19,National,1103,Provided,Not Available,0.1%,SYRIZA,0.293,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2022-12-15,2022-12-19,National,1655,Provided,Not Available,0.1%,SYRIZA,0.271,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Powergame.gr,2022-12-13,2022-12-15,National,1000,Provided,Not Available,0.1%,SYRIZA,0.295,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,,2022-12-01,2022-12-09,National,2000,Provided,Not Available,0.1%,SYRIZA,0.272,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,Lykavitos,2022-11-29,2022-12-02,National,1251,Provided,Not Available,0.1%,SYRIZA,0.287,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
RASS,Action 24,2022-11-28,2022-12-02,National,1002,Provided,Not Available,0.1%,SYRIZA,0.267,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Star TV,2022-11-24,2022-11-28,National,1200,Provided,Not Available,0.1%,SYRIZA,0.294,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ANT1,2022-11-22,2022-11-27,National,1030,Provided,Not Available,0.1%,SYRIZA,0.276,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Prorata,Η Εφημερίδα των Συντακτών,2022-11-19,2022-11-22,National,1905,Provided,Not Available,0.1%,SYRIZA,0.299,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2022-11-19,2022-11-22,National,1205,Provided,Not Available,0.1%,SYRIZA,0.29100000000000004,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2022-11-17,2022-11-21,National,1605,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2022-11-14,2022-11-18,National,1000,Provided,Not Available,0.1%,SYRIZA,0.268,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Παραπολιτικά,2022-11-08,2022-11-10,National,1000,Provided,Not Available,0.1%,SYRIZA,0.299,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2022-10-31,2022-11-02,National,1000,Provided,Not Available,0.1%,SYRIZA,0.28,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2022-10-23,2022-10-25,National,1207,Provided,Not Available,0.1%,SYRIZA,0.29100000000000004,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ANT1,2022-10-18,2022-10-22,National,1050,Provided,Not Available,0.1%,SYRIZA,0.273,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2022-10-13,2022-10-19,National,1575,Provided,Not Available,0.1%,SYRIZA,0.276,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
GPO,Powergame.gr,2022-10-12,2022-10-15,National,1200,Provided,Not Available,0.1%,SYRIZA,0.294,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2022-10-10,2022-10-14,National,1002,Provided,Not Available,0.1%,SYRIZA,0.261,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Newsbomb,2022-10-10,2022-10-12,National,1000,Provided,Not Available,0.1%,SYRIZA,0.27399999999999997,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Interview,Politic.gr,2022-09-22,2022-09-27,National,1455,Provided,Not Available,0.1%,SYRIZA,0.262,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Metron Analysis,Mega TV,2022-09-22,2022-09-26,National,1300,Provided,Not Available,0.1%,SYRIZA,0.254,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Marc,ANT1,2022-09-20,2022-09-24,National,1166,Provided,Not Available,0.1%,SYRIZA,0.276,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Palmos Analysis,The Caller,2022-09-20,2022-09-23,National,1027,Provided,Not Available,0.1%,SYRIZA,0.254,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Alco,Alpha TV,2022-09-19,2022-09-23,National,1001,Provided,Not Available,0.1%,SYRIZA,0.267,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
MRB,Open TV,2022-09-19,2022-09-21,National,1000,Provided,Not Available,0.1%,SYRIZA,0.272,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2022-09-18,2022-09-20,National,1012,Provided,Not Available,0.1%,SYRIZA,0.294,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Pulse RC,ΣΚΑΪ,2022-09-12,2022-09-15,National,1105,Provided,Not Available,0.1%,SYRIZA,0.28800000000000003,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
Opinion Poll,Mononews,2022-09-12,2022-09-14,National,1004,Provided,Not Available,0.1%,SYRIZA,0.275,Συνασπισμός Ριζοσπαστικής Αριστεράς,SYRIZA,ΣΥΡΙΖΑ
