date,profits_cp_EL,profits_cp_EU_median,wages_cp_EL,wages_cp_EU_median,profits_pct_gdp_EL,profits_pct_gdp_EU_median,wages_pct_gdp_EL,wages_pct_gdp_EU_median
2016-Q2,21355.0,21304.0,12274.0,12377.5,48.9,43.2,28.1,35.8
2016-Q3,20992.2,20992.2,12287.8,12710.5,48.2,43.4,28.2,35.6
2016-Q4,21658.0,21630.4,12155.9,13172.6,49.5,43.2,27.8,35.5
2017-Q1,21306.9,21306.9,12350.4,13949.7,48.5,42.9,28.1,35.5
2017-Q2,21403.6,21403.6,12333.4,14319.8,48.6,41.9,28.0,35.8
2017-Q3,22142.3,22142.3,12277.9,14597.7,49.6,42.1,27.5,36.2
2017-Q4,21416.9,21416.9,12414.9,15143.3,48.4,42.2,28.1,36.2
2018-Q1,21363.3,21363.3,12551.1,17451.9,47.8,41.8,28.1,36.1
2018-Q2,21670.0,21670.0,12664.8,17709.5,48.4,41.6,28.3,36.6
2018-Q3,21295.1,21295.1,12669.0,17888.9,47.6,41.5,28.3,36.6
2018-Q4,21568.2,21568.2,12773.6,18172.8,47.7,42.5,28.3,36.5
2019-Q1,21512.9,21794.4,12976.3,18517.5,47.3,42.7,28.5,37.0
2019-Q2,22154.2,22154.2,13172.0,18776.5,47.9,41.1,28.5,36.8
2019-Q3,21935.2,22040.6,13056.3,18989.5,48.1,41.3,28.6,36.9
2019-Q4,22108.2,22108.2,12986.3,19152.9,48.6,42.4,28.5,36.6
2020-Q1,21083.4,21083.4,13090.6,19088.9,47.2,42.2,29.3,38.4
2020-Q2,19297.3,19297.3,12196.6,17237.9,50.2,42.0,31.8,39.6
2020-Q3,20235.4,21070.0,12389.9,18906.9,49.7,41.5,30.4,38.1
2020-Q4,20915.1,20915.1,12456.9,19221.4,50.1,42.4,29.8,37.9
2021-Q1,21724.1,21724.1,12618.4,19093.8,50.6,43.3,29.4,38.1
2021-Q2,22751.2,22751.2,12888.3,19762.9,51.4,42.8,29.1,37.5
2021-Q3,23339.0,23339.0,13085.2,20302.1,50.6,42.6,28.4,37.2
2021-Q4,25489.3,25489.3,13467.8,20609.5,53.0,43.0,28.0,37.0
2022-Q1,24869.9,24869.9,13565.8,21111.7,49.8,42.6,27.2,36.6
2022-Q2,26320.9,26320.9,13718.0,21585.9,51.7,43.4,26.9,36.3
2022-Q3,27807.2,27400.0,14130.8,22118.1,53.5,43.0,27.2,36.3
2022-Q4,28753.4,27632.0,14309.1,22436.7,54.3,45.1,27.0,36.4
2023-Q1,27375.4,27375.4,14481.1,23490.7,50.7,42.6,26.8,36.6
2023-Q2,27689.9,27689.9,14720.8,23937.0,50.2,42.7,26.7,37.2
2023-Q3,28421.8,27568.0,14945.7,24222.0,51.3,40.9,27.0,37.6
2023-Q4,28544.4,27130.0,15080.2,24664.7,51.3,43.0,27.1,37.6
2024-Q1,28952.1,28189.1,15323.7,25425.1,51.1,42.0,27.1,37.8
